zip,reportingyear,ziptype,cityname,statename,stateabbr,enc_zip,zcta_use
01201,2015,ZIP Code Area,Pittsfield,NA,MA,01201,01201
01202,2015,Post Office or large volume customer,Pittsfield,NA,MA,01201,01201
01203,2015,Post Office or large volume customer,Pittsfield,NA,MA,01201,01201
01220,2015,ZIP Code Area,Adams,NA,MA,01220,01220
01222,2015,ZIP Code Area,Ashley Falls,NA,MA,01222,01222
01223,2015,ZIP Code Area,Becket,NA,MA,01223,01223
01224,2015,ZIP Code Area,Berkshire,NA,MA,01224,01224
01225,2015,ZIP Code Area,Cheshire,NA,MA,01225,01225
01226,2015,ZIP Code Area,Dalton,NA,MA,01226,01226
01227,2015,Post Office or large volume customer,Dalton,NA,MA,01226,01226
01229,2015,Post Office or large volume customer,Glendale,NA,MA,01266,01229
01230,2015,ZIP Code Area,Great Barrington,NA,MA,01230,01230
01235,2015,ZIP Code Area,Hinsdale,NA,MA,01235,01235
01236,2015,ZIP Code Area,Housatonic,NA,MA,01236,01236
01237,2015,ZIP Code Area,Lanesboro,NA,MA,01237,01237
01238,2015,ZIP Code Area,Lee,NA,MA,01238,01238
01240,2015,ZIP Code Area,Lenox,NA,MA,01240,01240
01242,2015,Post Office or large volume customer,Lenox Dale,NA,MA,01238,01242
01243,2015,ZIP Code Area,Middlefield,NA,MA,01243,01243
01244,2015,Post Office or large volume customer,Mill River,NA,MA,01230,01244
01245,2015,ZIP Code Area,Monterey,NA,MA,01245,01245
01247,2015,ZIP Code Area,North Adams,NA,MA,01247,01247
01252,2015,Post Office or large volume customer,North Egremont,NA,MA,01230,01230
01253,2015,ZIP Code Area,Otis,NA,MA,01253,01253
01254,2015,ZIP Code Area,Richmond,NA,MA,01254,01254
01255,2015,ZIP Code Area,Sandisfield,NA,MA,01255,01255
01256,2015,ZIP Code Area,Savoy,NA,MA,01256,01256
01257,2015,ZIP Code Area,Sheffield,NA,MA,01257,01257
01258,2015,ZIP Code Area,South Egremont,NA,MA,01258,01258
01259,2015,ZIP Code Area,Southfield,NA,MA,01259,01259
01260,2015,Post Office or large volume customer,South Lee,NA,MA,01238,01260
01262,2015,ZIP Code Area,Stockbridge,NA,MA,01262,01262
01263,2015,Post Office or large volume customer,Stockbridge,NA,MA,01262,01262
01264,2015,Post Office or large volume customer,Tyringham,NA,MA,01238,01264
01266,2015,ZIP Code Area,West Stockbridge,NA,MA,01266,01266
01267,2015,ZIP Code Area,Williamstown,NA,MA,01267,01267
01270,2015,ZIP Code Area,Windsor,NA,MA,01270,01270
01301,2015,ZIP Code Area,Greenfield,NA,MA,01301,01301
01302,2015,Post Office or large volume customer,Greenfield,NA,MA,01301,01301
01330,2015,ZIP Code Area,Ashfield,NA,MA,01330,01330
01331,2015,ZIP Code Area,Athol,NA,MA,01331,01331
01337,2015,ZIP Code Area,Bernardston,NA,MA,01337,01337
01338,2015,ZIP Code Area,Buckland,NA,MA,01338,01338
01339,2015,ZIP Code Area,Charlemont,NA,MA,01339,01339
01340,2015,ZIP Code Area,Colrain,NA,MA,01340,01340
01341,2015,ZIP Code Area,Conway,NA,MA,01341,01341
01342,2015,ZIP Code Area,Deerfield,NA,MA,01342,01342
01343,2015,ZIP Code Area,Drury,NA,MA,01343,01343
01344,2015,ZIP Code Area,Erving,NA,MA,01344,01344
01346,2015,ZIP Code Area,Heath,NA,MA,01346,01346
01347,2015,Post Office or large volume customer,Lake Pleasant,NA,MA,01351,01347
01349,2015,ZIP Code Area,Millers Falls,NA,MA,01349,01349
01350,2015,ZIP Code Area,Monroe Bridge,NA,MA,01350,01350
01351,2015,ZIP Code Area,Montague,NA,MA,01351,01351
01354,2015,ZIP Code Area,Gill,NA,MA,01354,01354
01355,2015,ZIP Code Area,New Salem,NA,MA,01355,01355
01360,2015,ZIP Code Area,Northfield,NA,MA,01360,01360
01364,2015,ZIP Code Area,Orange,NA,MA,01364,01364
01366,2015,ZIP Code Area,Petersham,NA,MA,01366,01366
01367,2015,ZIP Code Area,Rowe,NA,MA,01367,01367
01368,2015,ZIP Code Area,Royalston,NA,MA,01368,01368
01370,2015,ZIP Code Area,Shelburne Falls,NA,MA,01370,01370
01373,2015,ZIP Code Area,South Deerfield,NA,MA,01373,01373
01375,2015,ZIP Code Area,Sunderland,NA,MA,01375,01375
01376,2015,ZIP Code Area,Turners Falls,NA,MA,01376,01376
01378,2015,ZIP Code Area,Warwick,NA,MA,01378,01378
01379,2015,ZIP Code Area,Wendell,NA,MA,01379,01379
01380,2015,Post Office or large volume customer,Wendell Depot,NA,MA,01379,01379
01420,2015,ZIP Code Area,Fitchburg,NA,MA,01420,01420
01430,2015,ZIP Code Area,Ashburnham,NA,MA,01430,01430
01431,2015,ZIP Code Area,Ashby,NA,MA,01431,01431
01432,2015,ZIP Code Area,Ayer,NA,MA,01432,01432
01434,2015,ZIP Code Area,Devens,NA,MA,01434,01434
01436,2015,ZIP Code Area,Baldwinville,NA,MA,01436,01436
01438,2015,Post Office or large volume customer,East Templeton,NA,MA,01468,01438
01440,2015,ZIP Code Area,Gardner,NA,MA,01440,01440
01441,2015,Post Office or large volume customer,Westminster,NA,MA,01440,01440
01450,2015,ZIP Code Area,Groton,NA,MA,01450,01450
01451,2015,ZIP Code Area,Harvard,NA,MA,01451,01451
